Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.5003,0.0003,0.06%,125585271.00,Canada,2017,1189763,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$31.53,0.45,1.448%,0.00,United States,2004,415377,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.735,0.015,0.872%,4012859.00,United States,2003,14344,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$4.07,-0.12,-2.864%,670242537.00,Canada,,5600548,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$9.74,0.16,1.67%,364901045.00,,2024,12071,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$10.51,-0.14,-1.315%,0.00,United States,1993,19789,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.728,-0.0172,-2.308%,90091464.00,United States,1986,384926,Basic Materials,Precious Metals
VINE,Fresh Vine Wine Inc. Common Stock,$0.5297,0.038,7.728%,8462607.00,,2021,218448,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.82,-0.06,-0.676%,391661096.00,United States,1993,113632,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.605,-0.0058,-0.95%,56062211.00,Singapore,2015,60973,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VTAK,Catheter Precision Inc. Common Stock,$0.32,-0.013,-3.904%,2561483.00,,2018,85548,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$2.07,0.03,1.471%,589651941.00,Canada,2024,2110279,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.02,0.01,0.99%,202183569.00,Canada,2011,397024,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.6257,-0.0396,-5.952%,39110657.00,United States,,659879,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$3.72,0.22,6.286%,36462205.00,United States,,41209,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.6451,-0.0029,-0.448%,52535923.00,United States,,33041,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.4612,-0.0212,-4.395%,64110700.00,United States,,23592,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.3657,0.003,0.827%,2290318.00,United States,2017,97266,Consumer Discretionary,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$1.39,0.02,1.46%,,United States,,1050,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.18,-0.10,-4.386%,30832908.00,,2016,27090,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$1.15,-0.012,-1.033%,9625211.00,,2024,30655,Industrials,Industrial Machinery/Components
